"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Average counts of adults in provincial and territorial correctional programs","35100154","251-0005","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510015401",1,"CURRENT - a cube available to the public and that is current","Annual","1978-01-01","2023-01-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Custodial and community supervision",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Provinces and Territories","[11124]","1","","",2,
"1","Newfoundland and Labrador","[10]","2","1","",3,
"1","Prince Edward Island","[11]","3","1","",4,
"1","Nova Scotia","[12]","4","1","",5,
"1","New Brunswick","[13]","5","1","",6,
"1","Quebec","[24]","6","1","",7,
"1","Ontario","[35]","7","1","",8,
"1","Manitoba","[46]","8","1","",9,
"1","Saskatchewan","[47]","9","1","",10,
"1","Alberta","[48]","10","1","",11,
"1","British Columbia","[59]","11","1","",12;30,
"1","Yukon","[60]","12","1","",13,
"1","Northwest Territories including Nunavut","","13","1","t",14,
"1","Northwest Territories","[61]","14","1","",14,
"1","Nunavut","[62]","15","1","",16,
"2","Total actual-in count","","1","","",17,
"2","Sentenced, actual-in count","","2","1","",27,
"2","Remand, actual-in count","","3","1","",26,
"2","Other statuses, actual-in count","","4","1","",18,
"2","On-register count","","5","","",29,
"2","Incarceration rates per 100,000 adults","","6","","",20,
"2","Total community supervision count","","7","","",21;28,
"2","Probation, community supervision","","8","7","",22;28,
"2","Conditional sentence, community supervision","","9","7","",23;28,
"2","Provincial parole, community supervision","","10","7","",24;28,
"2","Probation rates per 100,000 adults","","11","","",25,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"3313","Corrections Key Indicator Report for Adults and Youth"

"Subject Code","Subject Name"
"35","Crime and justice"

"Note ID",Note
1,"This product is based on data from the Canadian Centre for Justice and Community Safety Statistics (CCJCSS) Corrections Key Indicator Report for Adults and the Canadian Correctional Services Survey (CCSS). Fiscal year (April 1 through March 31). Due to rounding, figures may not add to totals. These data are administrative data. Although the Corrections Key Indicator Report attempts to standardize the way in which data are reported, limitations due to differences among jurisdictional operations may restrict uniform application of the definitions in some situations. For this reason, inter-jurisdictional comparisons of the data should be made with caution."
2,"Data represent the total for all reporting jurisdictions. Data for a given year may be incomplete due to missing data for one or more jurisdictions. Comparison among years at the national level should be made with caution. Detailed data availability information can be found in the notes associated to the provinces or territories. "
3,"Newfoundland and Labrador 'Other statuses' counts are not applicable prior to 1981/1982 and not available from 1989/1990 to 1995/1996 and from 2005/2006 onward. Community supervision counts are not available for 2009/2010 and are not available from 2018/2019 to 2020/2021. In 2021/2022, data for Newfoundland and Labrador are not available."
